baseline_calls,baseline_mean_exec_time,label,post_calls,post_mean_exec_time,queryid,regression_ratio,status
5,1.4208876,ml_analysis_media_assets,5,1.4208876,-3760442158075933378,,insufficient_calls
5,0.8707586,ml_analysis_media_assets,5,0.8707586,1612712019855059950,,insufficient_calls
4,0.34913375,ml_analysis_media_cast_candidates,4,0.34913375,-3337551033592462822,,insufficient_calls
4,0.01661175,ml_face_reference_images,4,0.01661175,-5200489179804488586,,insufficient_calls
3,0.00611066666666667,ml_screentime_person_metrics,3,0.00611066666666667,7647935313390008716,,insufficient_calls
3,0.005539,ml_screentime_review_state,3,0.005539,-8703381383883003635,,insufficient_calls
3,0.00622533333333333,ml_screentime_segments,3,0.00622533333333333,5689979212956177474,,insufficient_calls
243,11.9918845720165,pipeline,243,11.9918845720165,-4760448207275515022,1.0,ok
3,3.59445166666667,pipeline,3,3.59445166666667,-7136449913370311116,,insufficient_calls
4,0.57479875,pipeline,4,0.57479875,1981736216961752699,,insufficient_calls
19,0.232909578947368,screenalytics_face_bank_images,19,0.232909578947368,-4551427581585510584,,insufficient_calls
214,0.100771355140187,screenalytics_face_bank_images,214,0.100771355140187,4671505537781482513,1.0,ok
28,0.126944821428571,screenalytics_media_upload_sessions,28,0.126944821428571,-7333596908090591009,1.0,ok
30,0.0958715,screenalytics_video_assets,30,0.0958715,3422631761679946430,1.0,ok
27,1.78892174074074,screenalytics_video_assets,27,1.78892174074074,4640366793497492619,1.0,ok
