calls,label,mean_exec_time,query,queryid,rows,total_exec_time
244,core_admin,579.105273418033,"WITH shows_with_slug AS (
          SELECT
            s.id,
            s.name,
            s.slug,
            COALESCE(s.alternative_names, ARRAY[]::text[]) AS alternative_names,
            s.imdb_id,
            s.tmdb_id,
            s.tvdb_id,
            s.tvrage_id,
            s.wikidata_id,
            COALESCE(s.external_ids, $1::jsonb) AS external_ids,
            s.show_total_seasons,
            s.show_total_episodes,
            s.description,
            s.premiere_date,
            COALESCE(s.genres, ARRAY[]::text[]) AS genres,
            COALESCE(s.networks, ARRAY[]::text[]) AS networks,
            COALESCE(s.streaming_providers, ARRAY[]::text[]) AS streaming_providers,
            COALESCE(watch.provider_names, ARRAY[]::text[]) AS watch_providers,
            watch.justwatch_url,
            watch.overview_watch_availability,
            watch.watch_provider_regions,
            COALESCE(s.tags, ARRAY[]::text[]) AS tags,
            s.primary_poster_image_id,
            s.primary_backdrop_image_id,
            s.primary_logo_image_id,
            s.tmdb_status,
            s.tmdb_vote_average,
            s.imdb_rating_value,
            s.created_at,
            s.updated_at,
            
lower(
  trim(
    both $2 FROM regexp_replace(
      regexp_replace(COALESCE(s.name, $3), $4, $5, $6),
      $7,
      $8,
      $9
    )
  )
)
 AS computed_slug,
            COUNT(*) OVER (PARTITION BY 
lower(
  trim(
    both '-' FROM regexp_replace(
      regexp_replace(COALESCE(s.name, ''), '&', ' and ', 'gi'),
      '[^a-z0-9]+',
      '-',
      'gi'
    )
  )
)
) AS slug_collision_count
          FROM core.shows AS s
          LEFT JOIN LATERAL (
            SELECT
              COALESCE(
                ARRAY_AGG(DISTINCT btrim(wp.provider_name) ORDER BY btrim(wp.provider_name))
                  FILTER (WHERE btrim(COALESCE(wp.provider_name, $10)) <> $11),
                ARRAY[]::text[]
              ) AS provider_names,
              MIN(NULLIF(btrim(swp.link), $12)) AS justwatch_url
              ,
              COALESCE(
                (
                  SELECT jsonb_agg(
                    jsonb_build_object(
                      $13,
                      grouped.region,
                      $14,
                      grouped.stream,
                      $15,
                      grouped.buy
                    )
                    ORDER BY grouped.sort_order
                  )
                  FROM (
                    SELECT
                      swp_group.region,
                      CASE swp_group.region
                        WHEN $16 THEN $17
                        WHEN $18 THEN $19
                        WHEN $20 THEN $21
                        WHEN $22 THEN $23
                        ELSE $24
                      END AS sort_order,
                      COALESCE(
                        ARRAY_AGG(DISTINCT btrim(wp_group.provider_name) ORDER BY btrim(wp_group.provider_name))
                          FILTER (
                            WHERE swp_group.offer_type IN ($25, $26)
                              AND btrim(COALESCE(wp_group.provider_name, $27)) <> $28
                          ),
                        ARRAY[]::text[]
                      ) AS stream,
                      COALESCE(
                        ARRAY_AGG(DISTINCT btrim(wp_group.provider_name) ORDER BY btrim(wp_group.provider_name))
                          FILTER (
                            WHERE swp_group.offer_type IN ($29, $30)
                              AND btrim(COALESCE(wp_group.provider_name, $31)) <> $32
                          ),
                        ARRAY[]::text[]
                      ) AS buy
                    FROM core.show_watch_providers AS swp_group
                    JOIN core.watch_providers AS wp_group ON wp_group.provider_id = swp_group.provider_id
                    WHERE swp_group.show_id = s.id
                      AND swp_group.region IN ($33, $34, $35, $36)
                    GROUP BY swp_group.region
                  ) AS grouped
                ),
                $37::jsonb
              ) AS overview_watch_availability,
              COALESCE(
                (
                  SELECT jsonb_agg(
                    jsonb_build_object(
                      $38,
                      grouped.region,
                      $39,
                      grouped.stream,
                      $40,
                      grouped.free,
                      $41,
                      grouped.buy_rent
                    )
                    ORDER BY grouped.sort_order, grouped.region
                  )
                  FROM (
                    SELECT
                      upper(btrim(swp_group.region)) AS region,
                      CASE upper(btrim(swp_group.region))
                        WHEN $42 THEN $43
                        WHEN $44 THEN $45
                        WHEN $46 THEN $47
                        WHEN $48 THEN $49
                        ELSE $50
                      END AS sort_order,
                      COALESCE(
                        ARRAY_AGG(DISTINCT btrim(wp_group.provider_name) ORDER BY btrim(wp_group.provider_name))
                          FILTER (
                            WHERE swp_group.offer_type IN ($51, $52)
                              AND btrim(COALESCE(wp_group.provider_name, $53)) <> $54
                          ),
                        ARRAY[]::text[]
                      ) AS stream,
                      COALESCE(
                        ARRAY_AGG(DISTINCT btrim(wp_group.provider_name) ORDER BY btrim(wp_group.provider_name))
                          FILTER (
                            WHERE swp_group.offer_type = $55
                              AND btrim(COALESCE(wp_group.provider_name, $56)) <> $57
                          ),
                        ARRAY[]::text[]
                      ) AS free,
                      COALESCE(
                        ARRAY_AGG(DISTINCT btrim(wp_group.provider_name) ORDER BY btrim(wp_group.provider_name))
                          FILTER (
                            WHERE swp_group.offer_type IN ($58, $59)
                              AND btrim(COALESCE(wp_group.provider_name, $60)) <> $61
                          ),
                        ARRAY[]::text[]
                      ) AS buy_rent
                    FROM core.show_watch_providers AS swp_group
                    JOIN core.watch_providers AS wp_group ON wp_group.provider_id = swp_group.provider_id
                    WHERE swp_group.show_id = s.id
                      AND btrim(COALESCE(swp_group.region, $62)) <> $63
                    GROUP BY upper(btrim(swp_group.region))
                  ) AS grouped
                ),
                $64::jsonb
              ) AS watch_provider_regions
            FROM core.show_watch_providers AS swp
            JOIN core.watch_providers AS wp ON wp.provider_id = swp.provider_id
            WHERE swp.show_id = s.id
          ) AS watch ON $65
        )
        SELECT
          s.*,
          CASE
            WHEN s.slug_collision_count > $66
              THEN COALESCE(NULLIF(s.slug, $67), s.computed_slug) || $68 || lower(left(s.id::text, $69))
            ELSE COALESCE(NULLIF(s.slug, $70), s.computed_slug)
          END AS canonical_slug,
          poster.hosted_url AS poster_url,
          backdrop.hosted_url AS backdrop_url,
          logo.hosted_url AS logo_url
        FROM shows_with_slug AS s
        LEFT JOIN core.show_images AS poster ON poster.id = s.primary_poster_image_id
        LEFT JOIN core.show_images AS backdrop ON backdrop.id = s.primary_backdrop_image_id
        LEFT JOIN core.show_images AS logo ON logo.id = s.primary_logo_image_id
        WHERE s.id = $71::uuid
        LIMIT $72",5178790366357296782,244,141301.686714
840,core_admin,136.927240408333,"WITH shows_with_slug AS (
         SELECT
           s.id::text AS id,
           s.name,
           COALESCE(s.alternative_names, ARRAY[]::text[]) AS alternative_names,
           
  lower(
    trim(
      both $2 FROM regexp_replace(
        regexp_replace(COALESCE(s.name, $3), $4, $5, $6),
        $7,
        $8,
        $9
      )
    )
  )
 AS computed_slug,
           COALESCE(
             NULLIF(
               lower(
                 trim(
                   both $10 FROM regexp_replace(
                     regexp_replace(COALESCE(s.slug, $11), $12, $13, $14),
                     $15,
                     $16,
                     $17
                   )
                 )
               ),
               $18
             ),
             
  lower(
    trim(
      both $19 FROM regexp_replace(
        regexp_replace(COALESCE(s.name, $20), $21, $22, $23),
        $24,
        $25,
        $26
      )
    )
  )

           ) AS effective_slug
         FROM core.shows AS s
       )
       SELECT
         s.id,
         s.name,
         s.alternative_names,
         s.effective_slug AS slug,
         CASE
           WHEN COUNT(*) OVER (PARTITION BY s.effective_slug) > $27
             THEN s.effective_slug || $28 || lower(left(s.id, $29))
           ELSE s.effective_slug
         END AS canonical_slug
       FROM shows_with_slug AS s
       WHERE (
         s.effective_slug = $1
         OR s.computed_slug = $1
         OR EXISTS (
           SELECT $30
           FROM unnest(s.alternative_names) AS alt(name)
           WHERE lower(
             trim(
               both $31 FROM regexp_replace(
                 regexp_replace(COALESCE(alt.name, $32), $33, $34, $35),
                 $36,
                 $37,
                 $38
               )
             )
           ) = $1
         )
       )
       ORDER BY s.id ASC",-5709656922509978140,818,115018.881943
13,core_admin,5730.13034146154,"WITH shows_with_slug AS (
       SELECT
         s.id,
         s.slug,
         
  lower(
    trim(
      both $2 FROM regexp_replace(
        regexp_replace(COALESCE(s.name, $3), $4, $5, $6),
        $7,
        $8,
        $9
      )
    )
  )
 AS computed_slug,
         COUNT(*) OVER (PARTITION BY 
  lower(
    trim(
      both '-' FROM regexp_replace(
        regexp_replace(COALESCE(s.name, ''), '&', ' and ', 'gi'),
        '[^a-z0-9]+',
        '-',
        'gi'
      )
    )
  )
) AS slug_collision_count
       FROM core.shows AS s
     ),
     person_metrics AS (
       SELECT
         p.id AS person_id,
         p.full_name AS person_name,
         $10::int AS metric_value,
         GREATEST(p.updated_at, p.created_at) AS latest_at
       FROM core.people AS p
     )
     SELECT
       person_metrics.person_id,
       p.full_name,
       p.known_for,
       COALESCE(photo.thumb_url, photo.display_url, photo.hosted_url, photo.url) AS photo_url,
       person_metrics.metric_value,
       show_context.canonical_slug AS show_context,
       person_metrics.latest_at
     FROM person_metrics
     JOIN core.people AS p ON p.id = person_metrics.person_id
     
  LEFT JOIN LATERAL (
    SELECT
      cp.thumb_url,
      cp.display_url,
      cp.hosted_url,
      cp.url
    FROM core.v_cast_photos AS cp
    WHERE cp.person_id = person_metrics.person_id
    ORDER BY
      CASE
        WHEN lower(COALESCE(cp.context_section, $11)) = $12 THEN $13
        WHEN lower(COALESCE(cp.context_section, $14)) IN ($15, $16) THEN $17
        ELSE $18
      END,
      cp.gallery_index ASC NULLS LAST
    LIMIT $19
  ) AS photo ON $20

     
  LEFT JOIN LATERAL (
    SELECT
      CASE
        WHEN sws.slug_collision_count > $21
          THEN COALESCE(NULLIF(sws.slug, $22), sws.computed_slug) || $23 || lower(left(sws.id::text, $24))
        ELSE COALESCE(NULLIF(sws.slug, $25), sws.computed_slug)
      END AS canonical_slug
    FROM core.v_person_show_seasons AS vpss
    JOIN shows_with_slug AS sws ON sws.id = vpss.show_id
    WHERE vpss.person_id = person_metrics.person_id
    ORDER BY
      COALESCE(vpss.total_episodes, $26) DESC,
      vpss.show_id ASC
    LIMIT $27
  ) AS show_context ON $28

     ORDER BY
       person_metrics.latest_at DESC NULLS LAST,
       p.full_name ASC
     LIMIT $1",-3969925430085414570,156,74491.694439
6527,core_admin,11.069824063582,"SELECT
         s.id::text AS id,
         s.name,
         COALESCE(s.alternative_names, ARRAY[]::text[]) AS alternative_names,
         lower(
           trim(
             both $2 FROM regexp_replace(
               regexp_replace(COALESCE(s.name, $3), $4, $5, $6),
               $7,
               $8,
               $9
             )
           )
         ) AS slug
       FROM core.shows AS s
       WHERE (
         lower(
           trim(
             both $10 FROM regexp_replace(
               regexp_replace(COALESCE(s.name, $11), $12, $13, $14),
               $15,
               $16,
               $17
             )
           )
         ) = $1
         OR EXISTS (
           SELECT $18
           FROM unnest(COALESCE(s.alternative_names, ARRAY[]::text[])) AS alt(name)
           WHERE lower(
             trim(
               both $19 FROM regexp_replace(
                 regexp_replace(COALESCE(alt.name, $20), $21, $22, $23),
                 $24,
                 $25,
                 $26
               )
             )
           ) = $1
         )
       )
       ORDER BY s.id ASC",9195129330101658889,6497,72252.741663
4654,core_admin,12.3621505096691,"WITH shows_with_slug AS (
       SELECT
         s.*,
         
  lower(
    trim(
      both $2 FROM regexp_replace(
        regexp_replace(COALESCE(s.name, $3), $4, $5, $6),
        $7,
        $8,
        $9
      )
    )
  )
 AS computed_slug,
         COUNT(*) OVER (PARTITION BY 
  lower(
    trim(
      both '-' FROM regexp_replace(
        regexp_replace(COALESCE(s.name, ''), '&', ' and ', 'gi'),
        '[^a-z0-9]+',
        '-',
        'gi'
      )
    )
  )
) AS slug_collision_count
       FROM core.shows AS s
     )
     SELECT
       s.*,
       CASE
         WHEN s.slug_collision_count > $10
           THEN COALESCE(NULLIF(s.slug, $11), s.computed_slug) || $12 || lower(left(s.id::text, $13))
         ELSE COALESCE(NULLIF(s.slug, $14), s.computed_slug)
       END AS canonical_slug,
       poster.hosted_url AS poster_url,
       backdrop.hosted_url AS backdrop_url,
       logo.hosted_url AS logo_url
     FROM shows_with_slug AS s
     LEFT JOIN core.show_images AS poster ON poster.id = s.primary_poster_image_id
     LEFT JOIN core.show_images AS backdrop ON backdrop.id = s.primary_backdrop_image_id
     LEFT JOIN core.show_images AS logo ON logo.id = s.primary_logo_image_id
     WHERE s.id = $1::uuid
     LIMIT $15",-8899701843221961805,4654,57533.4484719999
13,core_admin,3826.71770869231,"WITH shows_with_slug AS (
       SELECT
         s.id,
         s.slug,
         
  lower(
    trim(
      both $2 FROM regexp_replace(
        regexp_replace(COALESCE(s.name, $3), $4, $5, $6),
        $7,
        $8,
        $9
      )
    )
  )
 AS computed_slug,
         COUNT(*) OVER (PARTITION BY 
  lower(
    trim(
      both '-' FROM regexp_replace(
        regexp_replace(COALESCE(s.name, ''), '&', ' and ', 'gi'),
        '[^a-z0-9]+',
        '-',
        'gi'
      )
    )
  )
) AS slug_collision_count
       FROM core.shows AS s
     ),
     person_metrics AS (
       SELECT
         vec.person_id,
         MAX(vec.person_name) AS person_name,
         COUNT(DISTINCT vec.episode_id)::int AS metric_value
       FROM core.v_episode_credits AS vec
       WHERE COALESCE(vec.appearance_type, $10) <> $11
       GROUP BY vec.person_id
     )
     SELECT
       person_metrics.person_id,
       COALESCE(p.full_name, person_metrics.person_name) AS full_name,
       p.known_for,
       COALESCE(photo.thumb_url, photo.display_url, photo.hosted_url, photo.url) AS photo_url,
       person_metrics.metric_value,
       show_context.canonical_slug AS show_context,
       $12::timestamptz AS latest_at
     FROM person_metrics
     LEFT JOIN core.people AS p ON p.id = person_metrics.person_id
     
  LEFT JOIN LATERAL (
    SELECT
      cp.thumb_url,
      cp.display_url,
      cp.hosted_url,
      cp.url
    FROM core.v_cast_photos AS cp
    WHERE cp.person_id = person_metrics.person_id
    ORDER BY
      CASE
        WHEN lower(COALESCE(cp.context_section, $13)) = $14 THEN $15
        WHEN lower(COALESCE(cp.context_section, $16)) IN ($17, $18) THEN $19
        ELSE $20
      END,
      cp.gallery_index ASC NULLS LAST
    LIMIT $21
  ) AS photo ON $22

     
  LEFT JOIN LATERAL (
    SELECT
      CASE
        WHEN sws.slug_collision_count > $23
          THEN COALESCE(NULLIF(sws.slug, $24), sws.computed_slug) || $25 || lower(left(sws.id::text, $26))
        ELSE COALESCE(NULLIF(sws.slug, $27), sws.computed_slug)
      END AS canonical_slug
    FROM core.v_person_show_seasons AS vpss
    JOIN shows_with_slug AS sws ON sws.id = vpss.show_id
    WHERE vpss.person_id = person_metrics.person_id
    ORDER BY
      COALESCE(vpss.total_episodes, $28) DESC,
      vpss.show_id ASC
    LIMIT $29
  ) AS show_context ON $30

     ORDER BY
       person_metrics.metric_value DESC,
       COALESCE(p.full_name, person_metrics.person_name) ASC NULLS LAST
     LIMIT $1",-7627530754554678049,156,49747.330213
13,core_admin,3572.42282669231,"WITH shows_with_slug AS (
       SELECT
         s.id,
         s.slug,
         
  lower(
    trim(
      both $2 FROM regexp_replace(
        regexp_replace(COALESCE(s.name, $3), $4, $5, $6),
        $7,
        $8,
        $9
      )
    )
  )
 AS computed_slug,
         COUNT(*) OVER (PARTITION BY 
  lower(
    trim(
      both '-' FROM regexp_replace(
        regexp_replace(COALESCE(s.name, ''), '&', ' and ', 'gi'),
        '[^a-z0-9]+',
        '-',
        'gi'
      )
    )
  )
) AS slug_collision_count
       FROM core.shows AS s
     ),
     person_metrics AS (
       SELECT
         vpss.person_id,
         MAX(vpss.person_name) AS person_name,
         COUNT(DISTINCT vpss.show_id)::int AS metric_value
       FROM core.v_person_show_seasons AS vpss
       GROUP BY vpss.person_id
     )
     SELECT
       person_metrics.person_id,
       COALESCE(p.full_name, person_metrics.person_name) AS full_name,
       p.known_for,
       COALESCE(photo.thumb_url, photo.display_url, photo.hosted_url, photo.url) AS photo_url,
       person_metrics.metric_value,
       show_context.canonical_slug AS show_context,
       $10::timestamptz AS latest_at
     FROM person_metrics
     LEFT JOIN core.people AS p ON p.id = person_metrics.person_id
     
  LEFT JOIN LATERAL (
    SELECT
      cp.thumb_url,
      cp.display_url,
      cp.hosted_url,
      cp.url
    FROM core.v_cast_photos AS cp
    WHERE cp.person_id = person_metrics.person_id
    ORDER BY
      CASE
        WHEN lower(COALESCE(cp.context_section, $11)) = $12 THEN $13
        WHEN lower(COALESCE(cp.context_section, $14)) IN ($15, $16) THEN $17
        ELSE $18
      END,
      cp.gallery_index ASC NULLS LAST
    LIMIT $19
  ) AS photo ON $20

     
  LEFT JOIN LATERAL (
    SELECT
      CASE
        WHEN sws.slug_collision_count > $21
          THEN COALESCE(NULLIF(sws.slug, $22), sws.computed_slug) || $23 || lower(left(sws.id::text, $24))
        ELSE COALESCE(NULLIF(sws.slug, $25), sws.computed_slug)
      END AS canonical_slug
    FROM core.v_person_show_seasons AS vpss
    JOIN shows_with_slug AS sws ON sws.id = vpss.show_id
    WHERE vpss.person_id = person_metrics.person_id
    ORDER BY
      COALESCE(vpss.total_episodes, $26) DESC,
      vpss.show_id ASC
    LIMIT $27
  ) AS show_context ON $28

     ORDER BY
       person_metrics.metric_value DESC,
       COALESCE(p.full_name, person_metrics.person_name) ASC NULLS LAST
     LIMIT $1",-2551060830848654560,156,46441.496747
5942,core_admin,5.56699968832044,"WITH shows_with_slug AS (
       SELECT
         s.*,
         
  lower(
    trim(
      both $2 FROM regexp_replace(
        regexp_replace(COALESCE(s.name, $3), $4, $5, $6),
        $7,
        $8,
        $9
      )
    )
  )
 AS slug,
         COUNT(*) OVER (PARTITION BY 
  lower(
    trim(
      both '-' FROM regexp_replace(
        regexp_replace(COALESCE(s.name, ''), '&', ' and ', 'gi'),
        '[^a-z0-9]+',
        '-',
        'gi'
      )
    )
  )
) AS slug_collision_count
       FROM core.shows AS s
     )
     SELECT
       s.*,
       CASE
         WHEN s.slug_collision_count > $10
           THEN s.slug || $11 || lower(left(s.id::text, $12))
         ELSE s.slug
       END AS canonical_slug,
       poster.hosted_url AS poster_url,
       backdrop.hosted_url AS backdrop_url,
       logo.hosted_url AS logo_url
     FROM shows_with_slug AS s
     LEFT JOIN core.show_images AS poster ON poster.id = s.primary_poster_image_id
     LEFT JOIN core.show_images AS backdrop ON backdrop.id = s.primary_backdrop_image_id
     LEFT JOIN core.show_images AS logo ON logo.id = s.primary_logo_image_id
     WHERE s.id = $1::uuid
     LIMIT $13",-3171483593008597627,5923,33079.112148
9,core_admin,3620.518093,"WITH shows_with_slug AS (
          SELECT
            s.id,
            s.slug,
            
lower(
  trim(
    both $1 FROM regexp_replace(
      regexp_replace(COALESCE(s.name, $2), $3, $4, $5),
      $6,
      $7,
      $8
    )
  )
)
 AS computed_slug,
            COUNT(*) OVER (PARTITION BY 
lower(
  trim(
    both '-' FROM regexp_replace(
      regexp_replace(COALESCE(s.name, ''), '&', ' and ', 'gi'),
      '[^a-z0-9]+',
      '-',
      'gi'
    )
  )
)
) AS slug_collision_count
          FROM core.shows AS s
        ),
        person_metrics AS (
          SELECT
            p.id AS person_id,
            p.full_name AS person_name,
            $9::int AS metric_value,
            GREATEST(p.updated_at, p.created_at) AS latest_at
          FROM core.people AS p
        )
        SELECT
          person_metrics.person_id::text AS person_id,
          p.full_name,
          p.known_for,
          COALESCE(photo.thumb_url, photo.display_url, photo.hosted_url, photo.url) AS photo_url,
          person_metrics.metric_value,
          show_context.canonical_slug AS show_context,
          person_metrics.latest_at
        FROM person_metrics
        JOIN core.people AS p ON p.id = person_metrics.person_id
        
LEFT JOIN LATERAL (
  SELECT
    cp.thumb_url,
    cp.display_url,
    cp.hosted_url,
    cp.url
  FROM core.v_cast_photos AS cp
  WHERE cp.person_id = person_metrics.person_id
  ORDER BY
    CASE
      WHEN lower(COALESCE(cp.context_section, $10)) = $11 THEN $12
      WHEN lower(COALESCE(cp.context_section, $13)) IN (
        $14,
        $15
      ) THEN $16
      ELSE $17
    END,
    cp.gallery_index ASC NULLS LAST
  LIMIT $18
) AS photo ON $19

        
LEFT JOIN LATERAL (
  SELECT
    CASE
      WHEN sws.slug_collision_count > $20
        THEN COALESCE(NULLIF(sws.slug, $21), sws.computed_slug) || $22 || lower(left(sws.id::text, $23))
      ELSE COALESCE(NULLIF(sws.slug, $24), sws.computed_slug)
    END AS canonical_slug
  FROM core.v_person_show_seasons AS vpss
  JOIN shows_with_slug AS sws ON sws.id = vpss.show_id
  WHERE vpss.person_id = person_metrics.person_id
  ORDER BY
    COALESCE(vpss.total_episodes, $25) DESC,
    vpss.show_id ASC
  LIMIT $26
) AS show_context ON $27

        ORDER BY
          person_metrics.latest_at DESC NULLS LAST,
          p.full_name ASC
        LIMIT $28",-8134504135772872698,84,32584.662837
9,core_admin,3049.09896011111,"WITH shows_with_slug AS (
          SELECT
            s.id,
            s.slug,
            
lower(
  trim(
    both $1 FROM regexp_replace(
      regexp_replace(COALESCE(s.name, $2), $3, $4, $5),
      $6,
      $7,
      $8
    )
  )
)
 AS computed_slug,
            COUNT(*) OVER (PARTITION BY 
lower(
  trim(
    both '-' FROM regexp_replace(
      regexp_replace(COALESCE(s.name, ''), '&', ' and ', 'gi'),
      '[^a-z0-9]+',
      '-',
      'gi'
    )
  )
)
) AS slug_collision_count
          FROM core.shows AS s
        ),
        person_metrics AS (
          SELECT
            vpss.person_id,
            MAX(vpss.person_name) AS person_name,
            COUNT(DISTINCT vpss.show_id)::int AS metric_value
          FROM core.v_person_show_seasons AS vpss
          GROUP BY vpss.person_id
        )
        SELECT
          person_metrics.person_id::text AS person_id,
          COALESCE(p.full_name, person_metrics.person_name) AS full_name,
          p.known_for,
          COALESCE(photo.thumb_url, photo.display_url, photo.hosted_url, photo.url) AS photo_url,
          person_metrics.metric_value,
          show_context.canonical_slug AS show_context,
          $9::timestamptz AS latest_at
        FROM person_metrics
        LEFT JOIN core.people AS p ON p.id = person_metrics.person_id
        
LEFT JOIN LATERAL (
  SELECT
    cp.thumb_url,
    cp.display_url,
    cp.hosted_url,
    cp.url
  FROM core.v_cast_photos AS cp
  WHERE cp.person_id = person_metrics.person_id
  ORDER BY
    CASE
      WHEN lower(COALESCE(cp.context_section, $10)) = $11 THEN $12
      WHEN lower(COALESCE(cp.context_section, $13)) IN (
        $14,
        $15
      ) THEN $16
      ELSE $17
    END,
    cp.gallery_index ASC NULLS LAST
  LIMIT $18
) AS photo ON $19

        
LEFT JOIN LATERAL (
  SELECT
    CASE
      WHEN sws.slug_collision_count > $20
        THEN COALESCE(NULLIF(sws.slug, $21), sws.computed_slug) || $22 || lower(left(sws.id::text, $23))
      ELSE COALESCE(NULLIF(sws.slug, $24), sws.computed_slug)
    END AS canonical_slug
  FROM core.v_person_show_seasons AS vpss
  JOIN shows_with_slug AS sws ON sws.id = vpss.show_id
  WHERE vpss.person_id = person_metrics.person_id
  ORDER BY
    COALESCE(vpss.total_episodes, $25) DESC,
    vpss.show_id ASC
  LIMIT $26
) AS show_context ON $27

        ORDER BY
          person_metrics.metric_value DESC,
          COALESCE(p.full_name, person_metrics.person_name) ASC NULLS LAST
        LIMIT $28",5626260802679552407,84,27441.890641
