baseline_calls,baseline_mean_exec_time,label,post_calls,post_mean_exec_time,queryid,regression_ratio,status
5,3.6875062,social,5,3.6875062,-5323191479802421006,,insufficient_calls
18,0.0389214444444444,social,18,0.0389214444444444,-5363391308122955375,,insufficient_calls
4,45.74445175,social,4,45.74445175,-557364760431231006,,insufficient_calls
53,0.299073735849057,social,53,0.299073735849057,-5736141202332938431,1.0,ok
154,0.0926436493506494,social,154,0.0926436493506494,-5882176754698403506,1.0,ok
19341,0.277597549609638,social,19341,0.277597549609638,-5914087203369747727,1.0,ok
109,0.313202440366972,social,109,0.313202440366972,-6053994249098069372,1.0,ok
1976,0.0605132960526316,social,1976,0.0605132960526316,-6316267944702078602,1.0,ok
160,0.55104953125,social,160,0.55104953125,-6355974375873746021,1.0,ok
15,0.0889943333333333,social,15,0.0889943333333333,-6618048386660589451,,insufficient_calls
14079,7.89552287740607,social,14079,7.89552287740607,-7671651400040149810,1.0,ok
7,73.256469,social,7,73.256469,-7694312400230300216,,insufficient_calls
26678,27.7873051580704,social,26678,27.7873051580704,-7840825903220086196,1.0,ok
1195,0.155768859414226,social,1195,0.155768859414226,-7865158098733450868,1.0,ok
785,1.72157789426752,social,785,1.72157789426752,-7885276568020392964,1.0,ok
3,0.227842,social,3,0.227842,-7928694900602031765,,insufficient_calls
12,0.169908833333333,social,12,0.169908833333333,-8330702880176277007,,insufficient_calls
8,0.038267,social,8,0.038267,-8593407476936217379,,insufficient_calls
63,5.07721115873016,social,63,5.07721115873016,-8624019656705403716,1.0,ok
3,85.9406336666667,social,3,85.9406336666667,-8707226025820945022,,insufficient_calls
25,0.027019,social,25,0.027019,-8728450282239095668,1.0,ok
2,1.264073,social,2,1.264073,-972757857565057261,,insufficient_calls
257,21.2696111361868,social,257,21.2696111361868,1015365460166565519,1.0,ok
22,14.2553106363636,social,22,14.2553106363636,1056607949874647950,1.0,ok
6,0.0934793333333333,social,6,0.0934793333333333,1301886256673732922,,insufficient_calls
3,0.0563776666666667,social,3,0.0563776666666667,1320176141024698159,,insufficient_calls
48,698.491057666667,social,48,698.491057666667,1356340109709096593,1.0,ok
4,0.99112625,social,4,0.99112625,1672519132985049477,,insufficient_calls
45,0.0946185777777778,social,45,0.0946185777777778,1928212657439966124,1.0,ok
7,1.02762828571429,social,7,1.02762828571429,2318133413327034069,,insufficient_calls
6,0.0332655,social,6,0.0332655,2747251437904614580,,insufficient_calls
14,0.134399285714286,social,14,0.134399285714286,2813560492727338252,,insufficient_calls
2826,0.135150192852088,social,2826,0.135150192852088,4110825943424116768,1.0,ok
2,32.2510625,social,2,32.2510625,4624983031137811133,,insufficient_calls
80,0.3898149375,social,80,0.3898149375,4725405416625407184,1.0,ok
2,0.0677175,social,2,0.0677175,4794542206130573805,,insufficient_calls
2,550.716852,social,2,550.716852,4979295178532654798,,insufficient_calls
3291,0.167627767851716,social,3291,0.167627767851716,4992917536188673076,1.0,ok
13316,341.42710090455,social,13316,341.42710090455,5023416712210433429,1.0,ok
12,9.21856333333333,social,12,9.21856333333333,5245745966211114646,,insufficient_calls
1981,3.45968895961635,social,1981,3.45968895961635,5359771626864085849,1.0,ok
222,82.0356066216216,social,222,82.0356066216216,5483150606280212242,1.0,ok
888,3.6376784481982,social,888,3.6376784481982,5551693188986896874,1.0,ok
5,0.0331868,social,5,0.0331868,5791166846368504104,,insufficient_calls
54,0.17451987037037,social,54,0.17451987037037,5949858518155211047,1.0,ok
4,29.70157625,social,4,29.70157625,6112668404554490956,,insufficient_calls
7,1.10076585714286,social,7,1.10076585714286,6618928469256474438,,insufficient_calls
43,0.399595627906977,social,43,0.399595627906977,6808810372795145920,1.0,ok
25,0.78335316,social,25,0.78335316,6892959143390508743,1.0,ok
562,0.175100740213523,social,562,0.175100740213523,7341075937760234509,1.0,ok
448,917.116087941964,social,448,917.116087941964,7358515320472053994,1.0,ok
2,8.8024,social,2,8.8024,7420419358589078849,,insufficient_calls
668,2597.50349221108,social,668,2597.50349221108,7678591524919039602,1.0,ok
2,0.8513705,social,2,0.8513705,7899357879403947784,,insufficient_calls
861,0.163415570267131,social,861,0.163415570267131,8144131847557244480,1.0,ok
56,0.072159,social,56,0.072159,8189841117286245484,1.0,ok
2,1.543831,social,2,1.543831,8211783604625192528,,insufficient_calls
22,0.0670097727272727,social,22,0.0670097727272727,8324503060566193311,1.0,ok
60,0.0531965666666667,social,60,0.0531965666666667,8556629968557827382,1.0,ok
13322,8.41889368240504,social,13322,8.41889368240504,8944534053485136807,1.0,ok
2,8.6832375,social,2,8.6832375,8957098432119367594,,insufficient_calls
1436,30.4732570682452,social,1436,30.4732570682452,9028940971331210762,1.0,ok
12,0.239269666666667,social,12,0.239269666666667,9207711809608802731,,insufficient_calls
